nomenclature,reporter_code,reporter_iso3,reporter_name,product_code,partner_code,partner_iso3,partner_name,year,trade_flow_name,trade_value_in_1000_usd
H5,246,FIN,Finland,180632,0,WLD,World,2023,Gross Exports,11852.28057
H5,251,FRA,France+Monac,180632,0,WLD,World,2023,Gross Exports,273360.7121
H5,266,GAB,Gabon,180632,0,WLD,World,2023,Gross Exports,0.616038
H5,268,GEO,Georgia,180632,0,WLD,World,2023,Gross Exports,2060.638234
H5,276,DEU,Germany,180632,0,WLD,World,2023,Gross Exports,1720365.987
H5,288,GHA,Ghana,180632,0,WLD,World,2023,Gross Exports,55.743059
H5,300,GRC,Greece,180632,0,WLD,World,2023,Gross Exports,15616.44803
H5,320,GTM,Guatemala,180632,0,WLD,World,2023,Gross Exports,455.218
H5,328,GUY,Guyana,180632,0,WLD,World,2023,Gross Exports,0.001439
H5,340,HND,Honduras,180632,0,WLD,World,2023,Gross Exports,10.76644
H5,344,HKG,Hong Kong,180632,0,WLD,World,2023,Gross Exports,8053.567818
H5,348,HUN,Hungary,180632,0,WLD,World,2023,Gross Exports,21364.968
H5,352,ISL,Iceland,180632,0,WLD,World,2023,Gross Exports,791.414738
H5,360,IDN,Indonesia,180632,0,WLD,World,2023,Gross Exports,1315.387973
H5,372,IRL,Ireland,180632,0,WLD,World,2023,Gross Exports,157486.302
H5,376,ISR,Israel,180632,0,WLD,World,2023,Gross Exports,1241.162
H5,380,ITA,Italy,180632,0,WLD,World,2023,Gross Exports,128738.6305
H5,384,CIV,Cote Divoire,180632,0,WLD,World,2023,Gross Exports,334.860054
H5,388,JAM,Jamaica,180632,0,WLD,World,2023,Gross Exports,12.56857
H5,392,JPN,Japan,180632,0,WLD,World,2023,Gross Exports,54635.33789
H5,398,KAZ,Kazakhstan,180632,0,WLD,World,2023,Gross Exports,16963.21386
H5,400,JOR,Jordan,180632,0,WLD,World,2023,Gross Exports,1725.571896
H5,404,KEN,Kenya,180632,0,WLD,World,2023,Gross Exports,193.71717
H5,410,KOR,Korea Rep.,180632,0,WLD,World,2023,Gross Exports,5938.711
H5,414,KWT,Kuwait,180632,0,WLD,World,2023,Gross Exports,244.921274
H5,417,KGZ,Kyrgyzstan,180632,0,WLD,World,2023,Gross Exports,7.762
H5,422,LBN,Lebanon,180632,0,WLD,World,2023,Gross Exports,228.019
H5,428,LVA,Latvia,180632,0,WLD,World,2023,Gross Exports,12334.04845
H5,440,LTU,Lithuania,180632,0,WLD,World,2023,Gross Exports,46320.938
H5,442,LUX,Luxemberg,180632,0,WLD,World,2023,Gross Exports,503.459668
H5,450,MDG,Madagascar,180632,0,WLD,World,2023,Gross Exports,3055.000619
H5,458,MYS,Malaysia,180632,0,WLD,World,2023,Gross Exports,97256.07954
H5,470,MLT,Malta,180632,0,WLD,World,2023,Gross Exports,0.538472
H5,484,MEX,Mexico,180632,0,WLD,World,2023,Gross Exports,124780.013
H5,490,OAS,Asia Othr.ns,180632,0,WLD,World,2023,Gross Exports,1376.258068
H5,498,MDA,Rep.Moldova,180632,0,WLD,World,2023,Gross Exports,181.094
H5,499,MNT,Montenegro,180632,0,WLD,World,2023,Gross Exports,509.80965
H5,504,MAR,Morocco,180632,0,WLD,World,2023,Gross Exports,1525.127095
H5,512,OMN,Oman,180632,0,WLD,World,2023,Gross Exports,34.340702
H5,516,NAM,Namibia,180632,0,WLD,World,2023,Gross Exports,24.571275
H5,528,NLD,Netherlands,180632,0,WLD,World,2023,Gross Exports,183880.6691
H5,554,NZL,New Zealand,180632,0,WLD,World,2023,Gross Exports,75031.55679
H5,558,NIC,Nicaragua,180632,0,WLD,World,2023,Gross Exports,82.09093
H5,579,NOR,"Norway,Sb,JM",180632,0,WLD,World,2023,Gross Exports,5964.229715
H5,586,PAK,Pakistan,180632,0,WLD,World,2023,Gross Exports,213.433424
H5,604,PER,Peru,180632,0,WLD,World,2023,Gross Exports,32700.49279
H5,608,PHL,Philippines,180632,0,WLD,World,2023,Gross Exports,580.709
H5,616,POL,Poland,180632,0,WLD,World,2023,Gross Exports,346455.952
H5,620,PRT,Portugal,180632,0,WLD,World,2023,Gross Exports,26486.00355
H5,642,ROM,Romania,180632,0,WLD,World,2023,Gross Exports,14831.71464
H5,678,STP,Sao Tome Prn,180632,0,WLD,World,2023,Gross Exports,109.834894
H5,682,SAU,Saudi Arabia,180632,0,WLD,World,2023,Gross Exports,378.613857
H5,686,SEN,Senegal,180632,0,WLD,World,2023,Gross Exports,262.233916
H5,688,SER,Yugoslavia,180632,0,WLD,World,2023,Gross Exports,24124.358
H5,699,IND,India,180632,0,WLD,World,2023,Gross Exports,13030.35345
H5,702,SGP,Singapore,180632,0,WLD,World,2023,Gross Exports,65114.19554
H5,703,SVK,Slovakia,180632,0,WLD,World,2023,Gross Exports,49687.83316
H5,704,VNM,Viet Nam,180632,0,WLD,World,2023,Gross Exports,4433.589421
H5,705,SVN,Slovenia,180632,0,WLD,World,2023,Gross Exports,14983.64468
H5,710,ZAF,South Africa,180632,0,WLD,World,2023,Gross Exports,9863.325995
H5,724,ESP,Spain,180632,0,WLD,World,2023,Gross Exports,213943.2089
H5,748,SWZ,Swaziland,180632,0,WLD,World,2023,Gross Exports,1.21217
H5,752,SWE,Sweden,180632,0,WLD,World,2023,Gross Exports,82149.36022
H5,757,CHE,Switz.Liecht,180632,0,WLD,World,2023,Gross Exports,566079.0801
H5,764,THA,Thailand,180632,0,WLD,World,2023,Gross Exports,3544.969861
H5,768,TGO,Togo,180632,0,WLD,World,2023,Gross Exports,161.848602
H5,784,ARE,Untd Arab Em,180632,0,WLD,World,2023,Gross Exports,136230.8483
H5,788,TUN,Tunisia,180632,0,WLD,World,2023,Gross Exports,17630.56822
H5,792,TUR,Turkey,180632,0,WLD,World,2023,Gross Exports,105980.186
H5,800,UGA,Uganda,180632,0,WLD,World,2023,Gross Exports,76.18881
H5,804,UKR,Ukraine,180632,0,WLD,World,2023,Gross Exports,55656.05628
H5,807,MKD,TFYR Macedna,180632,0,WLD,World,2023,Gross Exports,2558.208111
H5,818,EGY,Egypt,180632,0,WLD,World,2023,Gross Exports,17864.8183
H5,826,GBR,Untd.Kingdom,180632,0,WLD,World,2023,Gross Exports,159927.4143
H5,842,USA,"USA,PR,USVI",180632,0,WLD,World,2023,Gross Exports,174168.617
H5,858,URY,Uruguay,180632,0,WLD,World,2023,Gross Exports,3.032
H5,860,UZB,Uzbekistan,180632,0,WLD,World,2023,Gross Exports,1425.19692
H5,894,ZMB,Zambia,180632,0,WLD,World,2023,Gross Exports,6.942557
H5,8,ALB,Albania,180631,0,WLD,World,2023,Gross Exports,151.637242
H5,24,AGO,Angola,180631,0,WLD,World,2023,Gross Exports,40.260936
H5,32,ARG,Argentina,180631,0,WLD,World,2023,Gross Exports,938.98625
H5,36,AUS,Australia,180631,0,WLD,World,2023,Gross Exports,32562.22024
H5,40,AUT,Austria,180631,0,WLD,World,2023,Gross Exports,257360.2028
H5,48,BHR,Bahrain,180631,0,WLD,World,2023,Gross Exports,1026.681885
H5,51,ARM,Armenia,180631,0,WLD,World,2023,Gross Exports,2050.58669
H5,52,BRB,Barbados,180631,0,WLD,World,2023,Gross Exports,202.3855
H5,56,BEL,Belgium,180631,0,WLD,World,2023,Gross Exports,162479.8846
H5,68,BOL,Bolivia,180631,0,WLD,World,2023,Gross Exports,353.32346
H5,70,BIH,Bosnia Herzg,180631,0,WLD,World,2023,Gross Exports,313.422272
H5,72,BWA,Botswana,180631,0,WLD,World,2023,Gross Exports,0.20276
H5,76,BRA,Brazil,180631,0,WLD,World,2023,Gross Exports,35797.174
H5,96,BRN,Brunei Darsm,180631,0,WLD,World,2023,Gross Exports,71.996477
H5,97,EUN,European Union,180631,0,WLD,World,2023,Gross Exports,1730591.284
H5,100,BGR,Bulgaria,180631,0,WLD,World,2023,Gross Exports,72393.98853
H5,124,CAN,Canada,180631,0,WLD,World,2023,Gross Exports,331089.1366
H5,132,CPV,Cape Verde,180631,0,WLD,World,2023,Gross Exports,47.301056
H5,144,LKA,Sri Lanka,180631,0,WLD,World,2023,Gross Exports,11.582361
H5,152,CHL,Chile,180631,0,WLD,World,2023,Gross Exports,2422.451456
H5,156,CHN,China,180631,0,WLD,World,2023,Gross Exports,69789.951
H5,170,COL,Colombia,180631,0,WLD,World,2023,Gross Exports,10822.93653
H5,188,CRI,Costa Rica,180631,0,WLD,World,2023,Gross Exports,858.03865
H5,191,HRV,Croatia,180631,0,WLD,World,2023,Gross Exports,190228.352
H5,196,CYP,Cyprus,180631,0,WLD,World,2023,Gross Exports,59.919582
